2010년, 절도 , 장물 , 사기 , 횡령 , 배임 , 손괴 , 살인 , 강도 , 방화 , 강간 , 폭행 , 상해 , 협박 , 공갈 , 약취와유인 , 체포와감금 , 폭력행위등(단체등의구성.활동) , 폭력행위등처벌에관한법률위반 , 통화 , 유가증권.인지.우표 , 문서 , 인장 , 직무유기 , 직권남용 , 수뢰 , 증뢰 , 간통 , 혼인빙자간음 , 기타음란행위 , 도박과복표 , 신앙 , 과실치사상 , 업무상과실치사상 , 실화 , 명예 , 권리행사방해 , 신용업무경매 , 주거침입 , 비밀침해 , 유기 , 낙태 , 아편 , 교통방해 , 공무방해 , 도주와범인은닉 , 위증과증거인멸 , 무고 , 공안을해하는죄 , 내란의죄 , 음용수에관한죄 , 일수와수리에관한죄 , 기타 , 가정폭력범죄의처벌등에관한특례법 , 개발제한구역의지정및관리에관한특별조치법 , 개항질서법위반 , 건설기계관리법위반 , 건설산업기본법위반 , 건축법위반 , 고용보험법위반 , 골재채취법위반 , 공업배치및공장설립에관한법률위반 , 공유수면관리법위반 , 공중위생관리법위반 , 공직선거법위반 , 관세법위반 , 교통사고처리특례법위반 , 국가기술자격법위반 , 국가보안법위반 , 국민연금법위반 , 근로기준법위반 , 낚시어선업법위반 , 내수면어업법위반 , 노동조합및노동관계조정법위반 , 농산물품질관리법위반 , 농수산물유통및가격안정에관한법률 , 농업협동조합법위반 , 농지법위반 , 담배사업법위반 , 대기환경보전법위반 , 대부업등의등록및금융이용자보호에관한법률 , 대외무역법위반 , 도로교통법위반 , 도로교통법위반(무면허운전) , 도로교통법위반(음주운전) , 도로교통법위반(음주측정거부) , 도로법위반 , 도시계획법위반 , 도시공원법위반 , 독점규제및공정거래에관한법률위반 , 디자인보호법위반 , 마약류관리에관한법률위반(대마) , 마약류관리에관한법률위반(마약) , 마약류관리에관한법률위반(향정) , 마약류불법거래방지에관한특례법위반 , 민사소송법위반 , 밀항단속법위반 , 방문판매등에관한법률위반 , 배타적경제수역의외국인어업등에관한법률 , 범죄수익은닉의규제및처벌등에관한법률 , 변호사법위반 , 병역법위반 , 보건범죄단속에관한특별조치법위반 , 부동산등기특별조치법위반 , 부동산실권리자명의등기에관한법률 , 부동산중개업법위반 , 부정경쟁방지및영업비밀보호에관한법률위반 , 부정수표단속법위반 , 사행행위등규제및처벌특례법위반 , 산림자원의조성및관리에관한법률위반 , 산업안전보건법위반 , 산업재해보상보험법위반 , 상법위반 , 상표법위반 , 석유사업법위반 , 선박안전법위반 , 선박직원법위반 , 선원법위반 , 성매매위반 , 소방기본법위반 , 소음.진동관리법위반 , 수도법위반 , 수산업법위반 , 수산자원관리법위반 , 수산자원보호령위반 , 수상레저안전법위반 , 수질환경보전법위반 , 식품위생법위반 , 신용정보의이용및보호에관한법률위반 , 실용신안법위반 , 액화석유가스의안전관리및사업법위반 , 약사법위반 , 여객자동차운수사업법위반 , 여권법위반 , 여신전문금융업법위반 , 오수.분뇨및축산폐수의처리에관한법률위반 , 옥외광고물등관리법위반 , 외국환거래법위반 , 유사수신행위의규제에관한법률위반 , 유선및도선사업법위반 , 유해화학물질관리법위반 , 윤락행위등방지법위반 , 음반.비디오물및게임물에관한법률위반 , 의료법위반 , 자동차관리법위반 , 자동차손해배상보장법위반 , 자연공원법위반 , 저작권법위반 , 전기사업법위반 , 전기통신기본법위반 , 전기통신사업법위반 , 전염병예방법위반 , 전투경찰대설치법위반 , 전파법위반 , 정보통신망이용촉진등에관한법률위반 , 정치자금법위반 , 조세범처벌법위반 , 조수보호및수렵에관한법률위반 , 주민등록법위반 , 주차장법위반 , 주택건설촉진법위반 , 증권거래법위반 , 지방세법위반 , 지하수법위반 , 직업안정법위반 , 집회및시위에관한법률위반 , 철도법위반 , 청소년보호법위반 , 청소년의성보호에관한법률위반 , 체육시설의설치.이용에관한법률위반 , 총포.도검.화약류등단속법위반 , 축산물가공처리법위반 , 출입국관리법위반 , 컴퓨터프로그램보호법위반 , 통신비밀보호법위반 , 특가법(도주차량) , 특허법위반 , 폐기물관리법위반 , 풍속영업의규제에관한법률위반 , 하천법위반 , 학교보건법위반 , 항만법위반 , 항만운송사업법위반 , 해양오염방지법위반 , 향토예비군설치법위반 , 화재보험위반 , 기타특별법 
서울특별시 종로구,1699,86,1769,265,50,362,7,32,28,226,1333,595,30,28,1,9,17,351,26,16,254,2,6,5,8,1,4, - ,2,85,1,13,19,12,162,23,173,45,1, - ,1, - ,11,152,2,8,37,1, - , - , - , - , - ,2, - , - ,2,18,1, - , - , - ,7,12,2,1217,1,5, - ,297, - , - ,7,8, - , - , - ,9,4,13,1,109,561,681,10,49, - , - , - ,19,4, - ,19, - , - , - ,2, - , - ,9,37,2, - ,3,1,6,100,23, - ,2, - ,2,324, - , - , - , - ,105, - , - , - , - , - , - , - , - ,123, - ,1,1,13, - ,4,86, - ,7,15,1, - ,10, - ,31,16,40,169, - ,244, - ,4, - , - ,1,1,119, - ,78, - ,9,4, - ,5, - , - ,21,54, - ,44,1,1,5, - ,22,1, - ,29,2, - , - , - , - , - , - , - ,42, - ,345
서울특별시 중구,1853,23,2360,280,76,322,8,27,11,397,1386,509,34,20,2,1,17,405,655,20,183,3,5,4,7,1,3, - ,3,103, - ,16,27,52,161,25,167,37, - ,2, - , - ,22,124,2,6,25, - , - , - , - , - , - ,1, - , - ,4,14,5, - , - , - ,2,15,6,1396,2,1, - ,386, - , - ,6,10, - , - , - ,3,2,46,3,71,1749,1138,10,111, - , - , - ,6,3, - ,16, - , - ,1,4, - , - ,7,40,2, - ,2,1,9,240,80, - ,9, - ,3,855, - , - , - , - ,213, - ,1, - , - , - , - , - , - ,57,3,1, - ,31,3, - ,42, - ,2,42,2, - ,4, - ,13,14,99,94, - ,221, - , - , - , - ,1,2,229, - ,47, - ,22,8, - ,1, - , - ,8,67, - ,38, - ,3,1,1,46, - ,1,25,5, - ,4, - , - , - , - , - ,34, - ,461
서울특별시 용산구,1217,47,1467,209,46,271,9,40,5,142,863,421,20,16,2,3,16,302,69,5,114, - ,2,2,3,1,9, - ,2,34, - ,12,9,3,86,18,67,35, - , - ,1, - ,15,95, - ,15,16,1, - , - , - , - ,3, - , - , - ,2,10,1, - , - , - ,2,8,1,1063, - ,4, - ,110, - , - , - ,4, - , - , - , - ,1,12,1,191,255,519,14,48, - , - , - ,2,39,2,65, - , - ,2, - , - , - ,1,55,1,1,5, - ,5,106,1,1,3, - , - ,87, - , - , - , - ,42, - , - , - , - , - , - , - , - ,82, - , - , - ,7,2, - ,24, - ,13,7, - , - ,7, - ,4,6,78,174, - ,160, - ,6, - , - , - ,32,163, - ,103, - ,10,16, - ,1, - , - ,5,16, - ,39,1, - ,3,2,12, - ,1,71,1, - , - , - ,4, - , - , - ,80, - ,345
서울특별시 성동구,1349,7,1012,159,24,296,11,29,7,111,883,302,10,15,1,4,14,212,5,19,67,4,1,1,2,1,8, - ,4,47,1,9,16,7,68,13,77,21, - ,1, - , - ,5,47, - ,1,23, - , - , - , - , - , - , - , - , - ,1,36, - , - , - , - ,1,7,3,1010, - ,2, - ,212, - , - ,4,7, - , - , - ,1,13,12,4,118,416,1044,4,274, - , - , - ,1,5,1,21, - , - , - ,1, - , - , - ,68,2, - ,3, - ,1,33, - , - ,14,1, - ,20, - , - , - , - ,40, - , - , - , - , - , - , - , - ,26, - ,1, - ,8,1,1,6, - ,21,5,3, - ,6, - ,1,5,77,72, - ,58, - ,1, - , - ,1,3,181, - ,34, - ,10,3, - , - , - , - , - , - , - ,35,3,3,6,8,58, - , - ,23,4,2,1, - ,5, - , - , - ,64, - ,366
서울특별시 광진구,2458,22,1818,208,37,442,11,52,13,249,1155,615,36,26, - ,6,12,384,89,13,134, - ,1,2,4,4,17, - ,9,66, - ,15,19,6,117,39,120,70, - , - ,1, - ,4,114, - ,83,53, - , - , - , - , - ,2,1, - , - ,4,5,1, - , - , - ,7,10,1,1395,4, - , - ,176, - , - , - ,6,1, - , - ,2,1,28,1,107,188,941,6,148, - , - , - ,1,7,1,12, - ,1, - ,6, - , - ,7,95, - ,2,6, - ,3,92,1,1,8, - ,1,30, - , - , - , - ,182, - , - , - , - , - , - , - , - ,66,1,2, - ,6,1,1,24, - ,2,11,2, - ,5, - ,1,17,48,112, - ,115, - , - , - , - , - ,5,116, - ,38, - ,21, - , - , - ,1, - ,4,5, - ,61,5, - ,4,4,9, - , - ,49,3,1, - , - ,4, - , - , - ,89,15,580
서울특별시 동대문구,1773,25,2103,233,50,296,14,57,17,182,1547,364,21,41,2,5,13,400,291,16,128,3,5,3,9,3,13,2,8,65,1,8,12,16,106,36,161,36,1,2, - , - , - ,109,5,15,61, - , - , - , - , - ,1,1, - , - ,4,20,2, - , - , - ,6,24,2,1583, - , - , - ,256, - , - ,6,19, - , - , - , - ,11,13,2,159,326,856,10,142, - , - , - ,2,14, - ,49, - , - , - ,10, - , - ,7,113,5, - ,6, - ,6,145,10, - ,14, - ,2,48, - , - , - , - ,75, - ,1, - , - , - , - , - , - ,75, - ,1, - ,23,1, - ,25, - ,11,17,4, - ,19, - , - ,16,327,191, - ,152, - , - ,1, - , - ,3,106,2,49, - ,15,8, - , - , - , - , - , - , - ,68, - ,1,4,41,50, - , - ,49,3,1, - , - ,1, - , - , - ,96,1,622
서울특별시 중랑구,1744,16,1614,166,19,507,12,33,31,189,1795,630,28,46,2,8,16,506,42,5,125, - ,7,4,2,1,12,1,5,142,1,16,9,10,117,31,226,53, - ,4,1, - ,8,140,5,11,39, - , - , - , - , - , - ,27, - , - ,65,23,2, - , - , - ,3,25,3,1640,2, - , - ,222, - , - ,1,10, - , - , - , - ,1,3,1,164,381,1877,10,189, - , - , - ,1,1,1,26, - , - , - , - , - , - ,11,143,9, - ,3, - ,3,40,6, - ,4,2,69,35, - , - , - , - ,112, - ,1, - , - , - , - , - , - ,63,1,1, - ,9, - , - ,21, - ,2,5,3, - ,10,1, - ,9,68,136, - ,167, - ,2,1, - , - ,6,326,1,37, - ,22,4, - , - , - , - ,4,1, - ,87,13,9, - ,5,18, - , - ,64,1,4, - , - ,5, - , - , - ,95,1,610
서울특별시 성북구,1998,8,1127,153,30,374,15,34,16,171,1196,330,18,44,2,3,9,305,58,10,98,2,2,1,6,2,8,1,7,47, - ,14,16,24,106,21,91,50, - , - ,1, - ,2,82, - ,5,28,1, - ,1, - ,1, - , - , - , - ,3,12,3, - , - , - ,3,15,3,1443,3,1,1,163, - , - ,2,5, - , - , - ,1,3,11, - ,122,442,1252,7,91, - , - , - , - ,6,2,25, - , - , - ,6, - , - ,2,90,4, - ,16, - ,3,79,9, - ,8, - , - ,35, - , - , - , - ,142, - , - , - , - , - , - , - , - ,68, - ,1, - ,4,3, - ,8, - ,2,4,2, - ,12, - ,2,18,527,204, - ,122,1,3, - , - , - ,6,197, - ,22, - ,17, - , - , - , - , - ,5,1, - ,56,2,2,2,3,48, - , - ,59,2, - , - , - ,1, - , - , - ,86,9,464
서울특별시 강북구,1382,9,1688,223,26,306,7,35,17,175,1328,460,23,38,3,7,9,378,63,8,113,2, - ,4,4, - ,11, - ,4,66,2,13,11,10,132,20,131,26,1, - ,1, - ,6,145,10,16,43, - , - ,1, - , - ,1,1, - , - ,3,30,7, - , - , - ,2,4, - ,1134, - , - , - ,160, - , - ,1,5, - , - , - , - ,2,21,1,61,258,967,7,37, - , - , - , - ,2,1,18, - , - , - ,1, - , - ,6,110,6, - ,2,1, - ,99, - ,3,7, - ,1,35, - , - , - , - ,42, - , - , - , - , - , - , - , - ,65, - ,2, - ,15, - , - ,9, - ,1,4,2, - ,8, - , - ,18,166,60,1,129, - ,2, - , - , - ,3,115, - ,21, - ,12,8, - , - , - , - ,1, - , - ,60,3,3,1, - ,25,1, - ,36,3,1, - , - ,5, - , - , - ,90,15,477
서울특별시 도봉구,1047,5,1072,167,29,222,5,16,8,97,921,259,17,22, - ,1,3,182,68,5,88,1,3,3,2, - ,9, - ,2,50, - ,4,9,32,73,21,82,20,1,1, - , - , - ,39,7,19,18, - , - , - , - , - , - ,9, - , - , - ,4,1, - , - , - ,5,6, - ,847, - ,2, - ,119, - , - ,1,5, - , - , - ,1, - ,13, - ,69,262,544,4,103, - , - ,1, - ,1, - ,16, - , - , - ,2, - , - , - ,86,5, - ,2,1,1,43, - ,3, - , - , - ,27,1, - , - , - ,147, - , - , - , - , - , - , - , - ,54, - , - , - ,6, - , - ,5, - ,5,4,2, - ,8, - ,4,8,205,61,1,152, - ,3, - , - , - ,1,83, - ,21, - ,14,19, - , - , - , - ,3,1, - ,37, - , - ,1,2,27, - , - ,39,2,7, - , - ,4, - , - , - ,32,5,368
