행정구역,2018년04월_총인구수,2018년04월_세대수
서울특별시 종로구 (1111000000),148633,69325
서울특별시 중구 (1114000000),121582,57262
서울특별시 용산구 (1117000000),219857,100899
서울특별시 성동구 (1120000000),301929,130775
서울특별시 광진구 (1121500000),351332,157126
서울특별시 동대문구 (1123000000),342055,154934
서울특별시 중랑구 (1126000000),400583,174820
서울특별시 성북구 (1129000000),433715,180910
서울특별시 강북구 (1130500000),317568,138441
서울특별시 도봉구 (1132000000),338058,134145
서울특별시 노원구 (1135000000),545070,213351
서울특별시 은평구 (1138000000),477429,197308
서울특별시 서대문구 (1141000000),305075,132476
서울특별시 마포구 (1144000000),366701,164216
서울특별시 양천구 (1147000000),463009,172288
서울특별시 강서구 (1150000000),594264,251103
서울특별시 구로구 (1153000000),403121,167920
서울특별시 금천구 (1154500000),229490,102692
서울특별시 영등포구 (1156000000),361597,163065
서울특별시 동작구 (1159000000),388559,169392
서울특별시 관악구 (1162000000),496369,252559
서울특별시 서초구 (1165000000),432251,168791
서울특별시 강남구 (1168000000),538809,221832
서울특별시 송파구 (1171000000),655810,260294
서울특별시 강동구 (1174000000),426947,172474
